Date,Open,High,Low,Close,Volume,Range,Return_%,H>=L,Valid_Range,EMH,EML,ExpRange
2025-02-17,22235.75,22281.75,22192.5,22235.25,101177,89.25,0.1757053556344035,True,True,22467.25,22025.5,441.75
2025-02-18,22224.75,22319.75,22102.75,22232.25,458231,217.0,-0.01349209026207943,True,True,22443.5,22064.25,379.25
2025-02-19,22224.5,22299.75,22118.0,22250.5,491538,181.75,0.08208795780904055,True,True,22426.25,22064.0,362.25
2025-02-20,22213.0,22235.5,21951.0,22141.75,555432,284.5,-0.4887530617289526,True,True,22415.5,22052.5,363.0
2025-02-21,22136.0,22245.5,21652.75,21679.25,697766,592.75,-2.08881411812526,True,True,22338.5,22005.25,333.25
2025-02-24,21700.75,21813.0,21407.5,21420.25,658440,405.5,-1.19469077574178,True,True,21878.75,21501.75,377.0
2025-02-25,21442.5,21453.75,20990.0,21149.0,791775,463.75,-1.266325089576448,True,True,21620.5,21208.75,411.75
2025-02-26,21230.5,21409.25,21055.0,21187.0,639949,354.25,0.1796775261241557,True,True,21393.0,20980.25,412.75
2025-02-27,21249.0,21386.5,20583.25,20605.75,843882,803.25,-2.743427573512058,True,True,21381.25,21000.25,381.0
2025-02-28,20649.5,20944.25,20460.5,20919.5,834281,483.75,1.522633245574667,True,True,20785.5,20358.0,427.5
2025-03-03,21005.25,21121.0,20316.75,20468.25,826524,804.25,-2.15707832405172,True,True,21206.0,20675.25,530.75
2025-03-04,20527.0,20732.5,20075.25,20399.0,943695,657.25,-0.3383288752091707,True,True,20754.0,20165.75,588.25
2025-03-05,20555.0,20725.0,20215.0,20665.0,772984,510.0,1.303985489484782,True,True,20885.0,20183.0,702.0
2025-03-06,20605.25,20647.5,20003.0,20089.25,750514,644.5,-2.786111783208323,True,True,20944.25,20207.75,736.5
2025-03-07,20214.5,20286.25,19765.5,20229.75,750527,520.75,0.6993790211182516,True,True,20553.5,19812.0,741.5
