20250919 003900;24709;24711.75;24708.75;24710;67
20250919 004000;24710;24710.75;24708.25;24709;39
20250919 004100;24708.5;24709.5;24702;24704.25;85
20250919 004200;24704.5;24705;24696.25;24698;280
20250919 004300;24698;24698;24695.5;24696.75;88
20250919 004400;24696.25;24700.25;24694.75;24699.25;118
20250919 004500;24699.5;24701.75;24697;24701.5;80
20250919 004600;24700.5;24704.75;24700.25;24704.25;57
20250919 004700;24703.75;24708.25;24702;24707.75;113
20250919 004800;24707.5;24707.5;24702.5;24702.5;58
20250919 004900;24703.25;24704;24699.5;24701.25;64
20250919 005000;24701.75;24703.5;24701;24703.5;45
20250919 005100;24703.5;24706.5;24700.75;24706;76
20250919 005200;24705.5;24705.75;24703.25;24705.5;36
20250919 005300;24705.25;24707.5;24704.5;24704.5;36
20250919 005400;24704;24705;24699.25;24702;83
20250919 005500;24702.5;24707.5;24701.75;24706.25;64
20250919 005600;24706.25;24707.25;24705.5;24706.75;33
20250919 005700;24705.25;24710.25;24705.25;24709;94
20250919 005800;24709;24712.25;24709;24712;56
20250919 005900;24712.5;24715.5;24711;24711.5;158
20250919 010000;24711.5;24713.25;24710.25;24710.25;39
20250919 010100;24710;24713.25;24708;24712.75;88
20250919 010200;24712.75;24712.75;24708.75;24710;42
20250919 010300;24710.25;24711;24706;24706.5;52
20250919 010400;24706;24708.25;24704.75;24708.25;59
20250919 010500;24707.5;24710.5;24707.5;24709.25;29
20250919 010600;24708.75;24713;24706.75;24713;59
20250919 010700;24713;24713;24709.5;24709.5;30
20250919 010800;24710.5;24711.5;24705.75;24706.5;38
20250919 010900;24705.75;24708;24705;24706.25;27
20250919 011000;24706;24707;24703.5;24705.5;76
20250919 011100;24705;24706.25;24704.75;24705.25;32
20250919 011200;24706.25;24708;24701.75;24702.25;102
20250919 011300;24702.25;24708;24701.5;24708;76
20250919 011400;24708.25;24709.25;24705.25;24708.75;63
20250919 011500;24708.75;24714.5;24708.25;24714;120
20250919 011600;24714;24715.25;24708.75;24708.75;83
20250919 011700;24708.5;24711;24703.75;24710;86
20250919 011800;24710;24713.5;24709.25;24712.25;78
20250919 011900;24712.25;24713;24710.5;24711.25;52
20250919 012000;24709.75;24713.5;24709.5;24713.5;39
20250919 012100;24712.25;24715.5;24710.75;24715.5;63
20250919 012200;24715.5;24716.25;24710;24710;86
